"id","pm2_5","pm10_0","temp1","ts","measurement_process","pos","pos_accuracy","pos_altitude","pos_altitude_accuracy","pos_heading","pos_speed","inn_temp","inn_pres","inn_hum","temp2","temp3","co2","synced"
10965,4.55,6.699999999999999,19.125,2025-09-30 12:02:44.721,b827eb0fae5c_20250930_01,POINT (8.904966 52.297323),,60.0,,,0.14,25.935000000000002,1018.375,33.5,,,,true
10966,4.2,7.1,18.56,2025-09-30 12:03:20.695,b827eb0fae5c_20250930_01,POINT (8.905267 52.297216),,58.3,,,2.67,25.47,1018.41,34.95,,,,true
10967,5.0,7.0,18.5,2025-09-30 12:03:45.675,b827eb0fae5c_20250930_01,POINT (8.905848 52.29697),,59.3,,119.66,5.24,26.05,1018.29,34.84,,,,true
10968,4.9,5.6,18.25,2025-09-30 12:04:10.696,b827eb0fae5c_20250930_01,POINT (8.906384 52.296798),,53.6,,,2.69,26.28,1018.33,34.33,,,,true
10969,5.7,6.5,18.31,2025-09-30 12:04:40.534,b827eb0fae5c_20250930_01,POINT (8.906984 52.296613),,46.3,,117.48,5.12,26.64,1018.4,33.605000000000004,,,,true
10970,6.050000000000001,8.3,17.625,2025-09-30 12:05:15.070,b827eb0fae5c_20250930_01,POINT (8.908043 52.296258),,46.25,,,4.685,26.38,1018.4,32.68,,,,true
10971,5.2,6.0,17.19,2025-09-30 12:05:50.696,b827eb0fae5c_20250930_01,POINT (8.908619 52.29601),,47.9,,127.86,6.42,26.8,1018.4,33.77,,,,true
10972,6.5,7.2,17.5,2025-09-30 12:06:15.669,b827eb0fae5c_20250930_01,POINT (8.909143 52.295756),,50.0,,137.51,5.03,27.27,1018.3,32.88,,,,true
10973,9.1,10.3,17.94,2025-09-30 12:06:40.687,b827eb0fae5c_20250930_01,POINT (8.909152 52.295467),,48.1,,234.59,4.83,27.67,1018.35,33.37,,,,true
10974,4.9,7.3,18.31,2025-09-30 12:07:10.534,b827eb0fae5c_20250930_01,POINT (8.908714 52.295221),,38.6,,231.69,5.44,28.115000000000002,1018.405,32.94,,,,true
10975,4.7,6.15,19.095,2025-09-30 12:07:45.083,b827eb0fae5c_20250930_01,POINT (8.907865 52.294702),,33.05,,226.54,4.8100000000000005,28.58,1018.52,32.14,,,,true
10976,4.6,6.5,19.38,2025-09-30 12:08:20.694,b827eb0fae5c_20250930_01,POINT (8.9074 52.294637),,22.7,,309.2,7.2,28.91,1018.57,32.25,,,,true
10977,4.6,6.7,18.88,2025-09-30 12:08:45.689,b827eb0fae5c_20250930_01,POINT (8.906889 52.294849),,30.4,,303.39,6.29,28.88,1018.58,30.6,,,,true
10978,4.6,5.9,18.56,2025-09-30 12:09:10.696,b827eb0fae5c_20250930_01,POINT (8.906472 52.295024),,30.7,,311.86,6.09,28.9,1018.52,30.39,,,,true
10979,4.3,4.8,18.44,2025-09-30 12:09:40.610,b827eb0fae5c_20250930_01,POINT (8.905921 52.295207),,33.5,,305.78,6.2,28.82,1018.605,30.23,,,,true
10980,4.65,5.95,18.185000000000002,2025-09-30 12:10:15.546,b827eb0fae5c_20250930_01,POINT (8.904828 52.295557),,45.900000000000006,,293.395,6.109999999999999,28.92,1018.61,30.0,,,,true
10981,5.0,8.2,18.38,2025-09-30 12:10:50.706,b827eb0fae5c_20250930_01,POINT (8.904245 52.295663),,48.7,,286.38,5.59,29.03,1018.65,29.5,,,,true
10982,4.5,6.1,18.94,2025-09-30 12:11:15.682,b827eb0fae5c_20250930_01,POINT (8.903663 52.29575),,49.1,,287.36,6.27,29.23,1018.66,30.24,,,,true
10983,4.7,6.4,19.19,2025-09-30 12:11:40.707,b827eb0fae5c_20250930_01,POINT (8.903092 52.295853),,59.4,,343.86,5.65,29.37,1018.64,29.51,,,,true
10984,4.6,5.5,18.62,2025-09-30 12:12:10.625,b827eb0fae5c_20250930_01,POINT (8.903205 52.296188),,60.6,,17.77,4.51,29.229999999999997,1018.615,28.435000000000002,,,,true
10985,4.45,5.15,18.13,2025-09-30 12:12:45.229,b827eb0fae5c_20250930_01,POINT (8.903499 52.296906),,58.75,,16.265,5.78,28.76,1018.6,29.06,,,,true
10986,5.0,6.2,17.62,2025-09-30 12:13:20.690,b827eb0fae5c_20250930_01,POINT (8.903803 52.297159),,52.1,,,3.41,28.42,1018.55,28.87,,,,true
10987,7.2,8.1,14.81,2025-10-01 17:17:05.909,b827eb0fae5c_20251001_01,POINT (8.906538 52.296643),,18.4,,,4.96,23.71,1024.25,29.05,,,,true
10988,6.8,8.25,14.655,2025-10-01 17:17:43.109,b827eb0fae5c_20251001_01,POINT (8.908109 52.296161),,37.45,,,5.01,23.515,1024.295,28.9,,,,true
10989,6.8,8.2,14.56,2025-10-01 17:18:20.318,b827eb0fae5c_20251001_01,POINT (8.908492 52.29596),,38.3,,,0.86,23.33,1024.34,28.84,,,,true
10990,7.5,9.3,14.5,2025-10-01 17:18:45.312,b827eb0fae5c_20251001_01,POINT (8.908982 52.295685),,39.6,,,4.73,23.38,1024.3,29.05,,,,true
